ID,Brand,City,Address,Latitude,Longitude
1,ОККО,Хмельницький,"ОККО, 20, Старокостянтинівське шосе, Мрія ЖК, Виставка, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29015, Україна",49.4313607,27.0095766
2,ОККО,Хмельницький,"ОККО, проспект Миру, Естетика ЖК, Виставка, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29017, Україна",49.4405341,26.9991443
3,ОККО,Хмельницький,"ОККО, Львівське шосе, Західний квартал, Південно-Західний, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29016, Україна",49.4144555,26.9468544
4,ОККО,Хмельницький,"ОККО, Озерна вулиця, Приозерний ЖК, Озерна, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29027, Україна",49.4470815,27.0006503
5,ОККО,Хмельницький,"ОККО, 102/1, проспект Миру, Мрія ЖК, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29015, Україна",49.4317925,27.0230131
6,ОККО,Хмельницький,"ОККО, Прибузька вулиця, Набережний квартал, Поділ, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29000, Україна",49.4306473,26.9871292
7,ОККО,Хмельницький,"ОККО, вулиця Гетьмана Мазепи, Avila Sky ЖК, Старий Аеродром, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29009, Україна",49.4072038,26.9996104
8,WOG,Хмельницький,"WOG, 2/1, Старокостянтинівське шосе, Перший парковий, Озерна, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29027, Україна",49.4449373,27.0188689
9,WOG,Хмельницький,"WOG, Вінницьке шосе, ЖМ Ранковий, Лезневе, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29015, Україна",49.4288791,27.0283745
10,WOG,Хмельницький,"WOG, 5/2, Західно-Окружна вулиця, Гречани, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29025, Україна",49.4472738,26.9566885
11,WOG,Хмельницький,"WOG, Старокостянтинівське шосе, Перший парковий, Озерна, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29027, Україна",49.4507319,27.0206836
12,WOG,Хмельницький,"WOG, М-30, Мацьківці, Хмельницька міська громада, Хмельницький район, Хмельницька область, 31336, Україна",49.4027072,26.8763438
13,WOG,Хмельницький,"ВОГ, Західно-Окружна вулиця, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29025, Україна",49.4572955,26.965927
14,UPG,Хмельницький,"UPG, 11/3, Прибузька вулиця, План, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29010, Україна",49.4223549,27.0130099
15,Shell,Хмельницький,"Shell, 11, Трудова вулиця, ЖМ Ранкове, Заводський, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29015, Україна",49.4246846,27.0228893
16,Shell,Хмельницький,"Shell, Західно-Окружна вулиця, Західний квартал, Південно-Західний, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29018, Україна",49.4135228,26.9392611
17,Shell,Хмельницький,"Shell, вулиця Гетьмана Мазепи, Avila Sky ЖК, Старий Аеродром, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29009, Україна",49.4097767,27.0023868
18,БРСМ-Нафта,Хмельницький,"БРСМ-Нафта, проспект Миру, Естетика ЖК, Заріччя, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29019, Україна",49.4485079,26.9782689
19,БРСМ-Нафта,Хмельницький,"БРСМ-Нафта, 9/3г, Трудова вулиця, ЖМ Ранкове, Заводський, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29015, Україна",49.4269838,27.0247113
20,БРСМ-Нафта,Хмельницький,"БРСМ-Нафта, 7, вулиця Панаса Мирного, Рів’єра ЖК, Виставка, Хмельницький, Хмельницька міська громада, Хмельницький район, Хмельницька область, 29017, Україна",49.4433677,27.0024211
