Date,Region,Brand,Fuel_Type,Price
2025-10-17,Хмельницька обл.,Укрнафта,A-95,59.49
2025-10-17,Хмельницька обл.,WOG,A-95,61.99
2025-10-17,Хмельницька обл.,ОККО,A-95,61.99
2025-10-17,Хмельницька обл.,Shell,A-95,61.99
2025-10-17,Хмельницька обл.,VST,A-95,58.9
2025-10-17,Хмельницька обл.,Авантаж 7,A-95,54.95
2025-10-17,Хмельницька обл.,Укр-Петроль,A-95,54.0
2025-10-17,Хмельницька обл.,Маркет,A-95,54.49
2025-10-17,Хмельницька обл.,AMIC,A-95,58.99
2025-10-17,Хмельницька обл.,Укрнафта,DP,56.49
2025-10-17,Хмельницька обл.,WOG,DP,58.99
2025-10-17,Хмельницька обл.,ОККО,DP,58.99
2025-10-17,Хмельницька обл.,Shell,DP,58.99
2025-10-17,Хмельницька обл.,VST,DP,52.4
2025-10-17,Хмельницька обл.,Авантаж 7,DP,51.95
2025-10-17,Хмельницька обл.,Укр-Петроль,DP,53.0
2025-10-17,Хмельницька обл.,Маркет,DP,51.99
2025-10-17,Хмельницька обл.,AMIC,DP,56.49
2025-10-17,Хмельницька обл.,Укрнафта,GAS,34.49
2025-10-17,Хмельницька обл.,WOG,GAS,35.98
2025-10-17,Хмельницька обл.,ОККО,GAS,35.99
2025-10-17,Хмельницька обл.,Shell,GAS,35.49
2025-10-17,Хмельницька обл.,VST,GAS,32.9
2025-10-17,Хмельницька обл.,Авантаж 7,GAS,32.45
2025-10-17,Хмельницька обл.,Укрнафта,A-95_plus,62.99
2025-10-17,Хмельницька обл.,WOG,A-95_plus,64.99
2025-10-17,Хмельницька обл.,ОККО,A-95_plus,64.99
2025-10-17,Хмельницька обл.,Shell,A-95_plus,64.99
2025-10-17,Хмельницька обл.,Укрнафта,A-92,57.49
